Id,Producto,Imagen,Imagenes complementarias 1,Imagenes complementarias 2,Imagenes complementarias 3,Precio,Categoria,Descripcion,caracteristicas tecnicas
1,Asus Rog Zephyrus Duo Ryzen 9 16Gb 1Tb Rtx 3060,asus-zephyrus-duo_15-GX550LXS-001,asus-zephyrus-duo_15-GX550LXS-002,,,$580.000,Notebook,"Caracteristicas: Asus Rog Zephyrus Duo 15 Se (Gx551Qm-Es96), Amd Ryzen 9 5980Hx Processor (3.3Ghz - 4.8Ghz) Processor, 15.6"" 300Hz (3Ms) Ips-Level Full Hd (1920 X 1080) 100% Srgb Display, 16Gb (2X 8Gb) Ddr4 3200Mhz Memory, 1Tb Pcie Nvme Ssd, Nvidia Geforce Rtx 3060 Max Performance (6Gb) Gddr6 Graphics Card W/ Rog Boost, Microsoft Windows 10 Home, Intel Wi-Fi 6 (802.11Ax), Bluetooth 5.1, Hdmi 2.0B, Usb 3.2 Type C (Gen 2), 3X Usb 3.2 Type A (Gen 2), Backlit Chiclet Per-Key Rgb Keyboard",
2,Mouse Steelseries Rival 650 Wireless,steelseries-rival650-001,steelseries-rival650-002,steelseries-rival650-003,steelseries-rival650-004,$25.000,Componentes,"Mouse SteelSeries Rival 650 Wireless Rendimiento sin retrasos de Quantum Wireless. Duración de la batería de más de 24 horas con carga rápida. Sensor óptico exclusivo TrueMove3 + 12.000 CPI, 350 IPS. La distancia de despegue más baja y precisa del mundo. 256 configuraciones de ajuste de peso del centro de gravedad. Interruptores mecánicos de disparador dividido de 60 millones de clics. Agarres laterales de silicona para mayor agarre y durabilidad. Iluminación RGB de 8 zonas con notificaciones Discord. Guarde la configuración del sensor, las macros y los efectos de iluminación a bordo. Personalización total con SteelSeries Engine","Sensor óptico exclusivo TrueMove3 + 12.000 CPI, 350 IPS Características Interruptores mecánicos de disparador dividido de 60 millones de clics Agarres laterales de silicona para mayor agarre y durabilidad. Iluminación RGB de 8 zonas con notificaciones Discord Personalización total con SteelSeries. Duración de la batería de más de 24 horas con carga rápida"
3,Notebook Gamer Hp Omen 15-Dc1020Nr,hp-omen-1020-001,hp-omen-1020-002,hp-omen-1020-003,,$335.000,Notebook,"Processor: 11th Gen Intel® Core™ i7-11800H (8-Core), Memory: 16 GB DDR4-3200 SDRAM, Hard Drive: 1 TB PCIe® NVMe™ M.2 SSD, Display: 15.6"""""""" IPS Micro-Edge Anti-Glare FHD (1920 x 1080) 300-Nits 144Hz Display
Integrated 10/100/1000 GbE LAN, Intel® Wi-Fi 6 AX 201 (2x2) and Bluetooth® 5 Combo, 1 USB 3.1 Gen 2 Type-C™ with Thunderbolt™ 3, Audio by Bang & Olufsen; DTS:X® Ultra; OMEN Audio Control Support DTS:X® Ultra; Dual speakers; HP Audio Boost 2.0","Video Card: NVIDIA® GeForce RTX™ 3070 Graphics, 8GB
Windows 11 Home x 64 bits, preinstalado.
Peso 2.45Kg. - HP Wide Vision 720p HD Webcam with Integrated Dual Array Digital Microphones"
4,Notebook Gamer Acer Nitro I5 10Ma 8Gb Ssd256 Gtx1650,acer-nitro-i5-001,,,,$144.000,Notebook,"Notebook Acer Nitro I5 11Va 8Gb 256Ssd Geforce Gtx1650 W11

Modelo An515-57-536Q
Parte Nh.Qekaa.001","Procesador Intel Core i5 11-400H
Pantalla 15.6"" FHD IPS 144Hz
Resolución 1920 x 1080 (Full HD)
Gráficos Placa de video dedicada Nvidia Geforce GTX 1650 4GB DDR6
Memoria 8GB DDR4 3200 (ampliable hasta 64GB)
Disco 256 GB SSD
Ampliaciones de disco SSD M.2 hasta 2TB / SSD o HDD 2.5"" hasta 2TB
Conectividad inalámbrica Wi-Fi 802.11AX + Bluetooth
Sistema operativo Windows 11 Home en inglés configurable en español
Teclado retroiluminado en inglés configurable español
Puertos 1 Ethernet, 1 HDMI, 4 USB ( 3 USB 3.2 y 1 Type C).
Cámara frontal 720dpi
Sonido 5.1
Garantía XTR Directo 6 meses"
5,Notebook Gamer Dell Alienware 17 R5 17.3,alienware-17-r5-001,dell-g5-5550-001,,,$508.890,Notebook,Notebook Dell Alienware M15R5 Extreme Gaming / Modelo Awm15R5 / Pantalla 15.6” Full Hd ( 1920 X 1080 ) 360Hz / Procesador Amd Ryzen 9 5900Hx 8 Cores 4.6Ghz / Capacidad Disco Estado Sólido 1Tb ( 1000 Gigas ) / Memoria Ram 16Gb Máxima Velocidad Y Frecuencia / Placa Gráfica Dedicada Nvidia Geforce Rtx 3070 Súper Max Q 8Gb Dedicados / Windows 11 / Dark Side Of The Moon,"8ª generación Intel Core i7-8750H (6 núcleos, 9 MB de caché, hasta 4. 1 GHz con Turbo Boost)
17. 3 pulgadas FHD (1920 x 1080) 60 Hz IPS antirreflejos 300-nits | NVIDIA GeForce GTX 1070 con 8 GB GDDR5
16 GB, DDR4, 2400 MHz
Unidad de estado sólido de 256 GB + disco duro de 1 TB 7200 rpm
Batería de iones de litio (99 Why) | Windows 10 Home"
6,Gabinete Kolink Inspire K20 Vidrio Templado 1X120Mm,kolink-inspire-k20-001,kolink-inspire-k20-002,kolink-inspire-k20-004,,$8.499,Componentes,"Basada en la popular Inspire K3 ARGB, la Inspire K20 viene en un factor de forma ATX y añade un ventilador ARGB trasero de 120mm. Con un atractivo diseño del panel frontal que presenta una tira ARGB en forma de X multiangular con acento de fibra de carbono, la Inspire K20 Midi-Tower es otra excelente adición al sector de precio/rendimiento.","Panel frontal acentuado en fibra de carbono con un acabado de tiras ARGB en forma de X multiangulares
Ventilador trasero de 120 mm preinstalado con iluminación RGB direccionable digitalmente
Opción de sincronización con el software de la placa base de serie
Panel lateral de cristal templado para una visión sin obstáculos del interior
Diseñada para placas base ATX/Micro-ATX-/Mini-ITX
Admite radiadores de hasta 240 mm en la parte delantera y 120 mm en la trasera
Panel de E/S con 1x USB3.0 y 2x USB2.0, audio HD y botón RGB
Soporta tarjetas gráficas de hasta 310mm, refrigeradores de CPU de hasta 160mm, fuentes de alimentación de hasta 180mm"
7,Notebook Gamer Msi Gf65 I7 10Ma 16Gb Ssd512 Rtx3060 144Hz 15,msi-i7-brx2070-001,,,,$292.949,Repuestos,,"-Procesador Intel Core I7-10750H Hexa Core
-Windows 10 64 Bits
-Memoria RAM 16Gb DDR4 3200Mhz (Max 64Gb)
-Disco SSD de 512Gb
-Pantalla de 15,6 Pulgadas LED Full HD Opaca IPS de 144Hz
-Placa de video DEDICADA Nvidia GTX RTX3060 6Gb DDR6
-Intel Wi-Fi 6 AX201(2*2 ax)
-Ethernet 10/100/1000
-Lector de Memorias
-Puertos USB 2.0, 3.0, 3.1
-Puerto HDMI
-Bluetooth 5.1
-Distribucion del teclado Ingles Steelseries retroiluminado
-Peso 1,9Kg
-Webcam Integrada"
8,Placa De Video Gigabyte Radeon Rx 5700 Xt 8G Ddr6 Gaming Oc,PLACA-DE-VIDEO-GIGABYTE-RADEON-RX-5700-XT-8G-DDR6-GAMING-OC,,,,$ 1.050.252,Componentes,,
9,Razer Blackwidow V3 Mini Teclado Mecánico Inalambrico 65%,razer-blackwidow-mini-v3-001,,,,$ 18.120,Componentes,"Hablar de Razer dentro del mundo gamer es palabra mayor. Esta compañía ofrece productos de muy alta calidad a sus usuarios. Su línea de teclados es reconocida por haber recibido distintos galardones y premios internacionales por su alto desempeño.
Su retroiluminación le da un toque diferente a tu equipo y resalta su composición cuando es utilizado en espacios poco iluminados.
Diseñado con tecnología optomecánica, su ciclo de vida es más extendido que otros dispositivos estándar. A diferencia de estos, los interruptores opto-mecánicos tienen una media de 100 millones de pulsaciones contra 70 millones de sus predecesores. ¡Preparate para tenerlo por muchos años!
Este dispositivo tiene teclas antighosting. Esta cualidad es indispensable si requerís de un uso intensivo del periférico. Gracias a esto podrás evitar fallas al tocar varias teclas al mismo tiempo.","Marca: Razer
Línea: Huntsman
Modelo: Huntsman Mini
Color del teclado: Negro
Color de la retroiluminación: RGB
Layout: QWERTY
Tipo de switch: Razer Purple
Es resistente a salpicaduras: Sí
Con cable removible: Sí
Con reposa muñeca: No
Con touchpad: No
Con pad numérico: No
Con trackball: No
Arquitectura: Opto-Mecánico
Es gamer: Sí
Con retroiluminación: Sí
Con pantalla: No
Incluye pilas: No
Es para una mano: No
Tipo de conector: USB-C
Con recepción inalámbrica: Sí
Con interfaz USB: No
Con Bluetooth: No
Forma de las teclas: Cilíndrica
Con teclas de acceso rápido: Sí
Con teclas anti-ghost: Sí"
10,Gabinete Sentey P20,gabinete-sentey-p20-001,,,,$9.264,Componentes,"GABINETE
Modelo: P20
Part Number: P20-SF

ESTRUCTURA
Tipo: ATX
Color: Negro
Material: Metal
Motherboard Compatibles: ATX, Micro ATX, MINI ITX
Posición PSU: Abajo
Soporte Watercooling: Si
Motherboard Tray: Si
Sistema cables ocultos: Si

SISTEMA DE COOLERS
Cooler frontal: No
Cooler lateral: No
Cooler lateral p/CPU: No
Cooler superior: No
Cooler inferior: No
Cooler trasero: No
Cooler HDD: No","EXTERIOR
Color: Negro
Frente: Negro RGB
Patas: Si
Panel Lateral: Transparente
Topcover: Si
Display LCD: No
Tornillos manuales: Si

EXPANSIONES
Bahias ext 5.25”: No
Bahias ext 3.5”: No
Bahias int 3.5”: Si
Bahias int 2.5”: Si
Expansion Slot PCI: Si

PUERTOS FRONTALES
USB 3.0: Si
USB 2.0: Si
Audio Frontal: Si
E-sata: No
Sata Nativo: No
Card Reader: No
Controlador velocidad cooler: No"
